"The bird has belly.", "The bird has belly."
"The small bird is grey with a white belly.", "The bird is grey with a belly. The small bird is grey with a belly. The bird is grey with a white belly. The small bird is grey with a white belly."
"This is a small fat bird with a yellow head white belly.", "This is a bird. This is a small bird. This is a fat bird. This is a small fat bird. This is a bird with belly. This is a fat bird with belly. This is a small bird with belly. This is a small fat bird with belly. This is a bird with white belly. This is a small bird with white belly. This is a fat bird with white belly. This is a small fat bird with white belly."
"The bird has white belly.", "The bird has belly. The bird has white belly."
"Stout bird with cream colored rectrices.", "Bird with cream rectrices. Bird with cream colored rectrices. Stout bird with cream rectrices. Stout bird with cream colored rectrices."
"A primarily white bird with black strips on its tail.", "A bird with strips. A primarily white bird with strips. A bird with strips on its tail. A primarily white bird with strips on its tail. A bird with black strips. A bird with black strips on its tail. A primarily white bird with black strips. A primarily white bird with black strips on its tail."
"A bird with a long body.", "A bird with a body. A bird with a long body."
"An iridescent black winged bird with a white throat.", "An bird with a throat. An black bird with a throat. An winged bird with a throat. An black winged bird with a throat. An bird with a white throat. An winged bird with a white throat. An black bird with a white throat. An black winged bird with a white throat. An iridescent bird with a throat. An iridescent black bird with a throat. An iridescent bird with a white throat. An iridescent black bird with a white throat. An iridescent winged bird with a throat. An iridescent winged bird with a white throat. An iridescent black winged bird with a throat. An iridescent black winged bird with a white throat."
"This bird has black feathers.", "This bird has feathers. This bird has black feathers."
"A white breasted bird with grey wings.", "A bird with grey wings. A breasted bird with grey wings. A white breasted bird with grey wings."
"The bird has red feathers.", "The bird has feathers. The bird has red feathers."
"This bird has a white belly with brown spots.", "This bird has a belly. This bird has a white belly. This bird has a belly with spots. This bird has a white belly with spots. This bird has a belly with brown spots. This bird has a white belly with brown spots."
"A large bird that enjoys water.", "A large bird that enjoys water."
"This bird has head proportional to its body.", "This bird has head. This bird has head proportional to its body."
"The bird has a long white throat as well as a black eyering.", "The bird has a throat. The bird has a white throat. The bird has a long throat. The bird has a long white throat."
"A dull small brown bird with a dark cheek patch.", "A bird with a cheek patch. A small bird with a cheek patch. A dull bird with a cheek patch. A dull small bird with a cheek patch. A brown bird with a cheek patch. A dull brown bird with a cheek patch. A small brown bird with a cheek patch. A dull small brown bird with a cheek patch. A bird with a dark cheek patch. A small bird with a dark cheek patch. A brown bird with a dark cheek patch. A small brown bird with a dark cheek patch. A dull bird with a dark cheek patch. A dull brown bird with a dark cheek patch. A dull small bird with a dark cheek patch. A dull small brown bird with a dark cheek patch."
"A small bird with a small beak.", "A bird with a beak. A bird with a small beak. A small bird with a beak. A small bird with a small beak."
"A black bird with a white belly.", "A bird with a belly. A bird with a white belly. A black bird with a belly. A black bird with a white belly."
"The feathers of this bird are ruffled.", "The feathers are ruffled. The feathers of this bird are ruffled."
"This brown slim bird has a long tail with high nape.", "This bird has a tail. This brown bird has a tail. This slim bird has a tail. This brown slim bird has a tail. This bird has a long tail. This slim bird has a long tail. This brown bird has a long tail. This brown slim bird has a long tail. This bird has a tail with nape. This bird has a long tail with nape. This slim bird has a tail with nape. This slim bird has a long tail with nape. This brown bird has a tail with nape. This brown slim bird has a tail with nape. This brown bird has a long tail with nape. This brown slim bird has a long tail with nape. This bird has a tail with high nape. This bird has a long tail with high nape. This slim bird has a tail with high nape. This slim bird has a long tail with high nape. This brown bird has a tail with high nape. This brown slim bird has a tail with high nape. This brown bird has a long tail with high nape. This brown slim bird has a long tail with high nape."
"This pretty bird is round.", "This bird is round. This pretty bird is round."
"This camouflaged bird is brown flecked with a black eye.", "This bird is flecked. This camouflaged bird is flecked. This bird is flecked with a eye. This camouflaged bird is flecked with a eye. This bird is flecked with a black eye. This camouflaged bird is flecked with a black eye."
"This small grey bird has a vivid black lining its neck.", "This bird has a black its neck. This grey bird has a black its neck. This bird has a vivid black its neck. This grey bird has a vivid black its neck. This small bird has a black its neck. This small bird has a vivid black its neck. This small grey bird has a black its neck. This small grey bird has a vivid black its neck."
"The bird has a long bill that is black.", "The bird has a bill that is black. The bird has a long bill that is black."
"This is an orange patche around its eyes.", "This is an patche. This is an orange patche. This is an patche around its eyes. This is an orange patche around its eyes."
"A small bird with white wingbars.", "A bird with wingbars. A bird with white wingbars. A small bird with wingbars. A small bird with white wingbars."
"Small red bird with black feathers to its tail.", "Bird to its tail. Small bird to its tail. Red bird to its tail. Small red bird to its tail. Bird with feathers. Bird with black feathers. Red bird with feathers. Red bird with black feathers. Bird with feathers to its tail. Bird with black feathers to its tail. Red bird with feathers to its tail. Red bird with black feathers to its tail. Small bird with feathers. Small bird with black feathers. Small bird with feathers to its tail. Small bird with black feathers to its tail. Small red bird with feathers. Small red bird with black feathers. Small red bird with feathers to its tail. Small red bird with black feathers to its tail."
"A small puffy bird with a white belly.", "A bird with a belly. A puffy bird with a belly. A bird with a white belly. A puffy bird with a white belly. A small bird with a belly. A small bird with a white belly. A small puffy bird with a belly. A small puffy bird with a white belly."
"The bird has bright yellow feathers.", "The bird has feathers. The bird has yellow feathers. The bird has bright feathers. The bird has bright yellow feathers."
"A small bird with round body.", "A bird with body. A bird with round body. A small bird with body. A small bird with round body."
"A small bird with a green belly.", "A bird with a belly. A bird with a green belly. A small bird with a belly. A small bird with a green belly."
"The bird has two large wingbars that are black.", "The bird has wingbars that are black. The bird has large wingbars that are black."
"This is a yellow bird with a black throat.", "This is a bird. This is a yellow bird. This is a bird with a throat. This is a yellow bird with a throat. This is a bird with a black throat. This is a yellow bird with a black throat."
"This magnificent bird has a white belly.", "This bird has a belly. This bird has a white belly. This magnificent bird has a belly. This magnificent bird has a white belly."
"This is a bright yellow bird with grayish wings.", "This is a bird. This is a bright bird. This is a yellow bird. This is a bright yellow bird. This is a bird with wings. This is a yellow bird with wings. This is a bright bird with wings. This is a bright yellow bird with wings. This is a bird with grayish wings. This is a bright bird with grayish wings. This is a yellow bird with grayish wings. This is a bright yellow bird with grayish wings."
"The small colorful bird has eyering.", "The bird has eyering. The colorful bird has eyering. The small bird has eyering. The small colorful bird has eyering."
"The bird has a thick brown beak.", "The bird has a beak. The bird has a brown beak. The bird has a thick beak. The bird has a thick brown beak."
"Small bird with black wings.", "Bird with wings. Bird with black wings. Small bird with wings. Small bird with black wings."
"This bird is almost entirely light gray with darker secondaries.", "This bird is gray. This bird is gray with secondaries. This bird is gray with darker secondaries. This bird is almost entirely light gray with secondaries. This bird is almost entirely light gray with darker secondaries."
"This bird has a white breast.", "This bird has a breast. This bird has a white breast."
"The yellow bird has a narrow beak.", "The bird has a beak. The bird has a narrow beak. The yellow bird has a beak. The yellow bird has a narrow beak."
"This bird is yellow with a short pointy beak.", "This bird is yellow. This bird is yellow with a beak. This bird is yellow with a pointy beak. This bird is yellow with a short pointy beak."
"This bird is black overall with a heavy black beak.", "This bird is black overall. This bird is black overall with a beak. This bird is black overall with a heavy beak. This bird is black overall with a black beak. This bird is black overall with a heavy black beak."
"This is a small red bird with a grey beak.", "This is a bird. This is a small bird. This is a red bird. This is a small red bird. This is a bird with a grey beak. This is a red bird with a grey beak. This is a small bird with a grey beak. This is a small red bird with a grey beak."
"There is an all black bird with dark brown eyes.", "There is an all bird. There is an all black bird. There is an all bird with eyes. There is an all black bird with eyes. There is an all bird with dark eyes. There is an all black bird with dark eyes. There is an all bird with brown eyes. There is an all black bird with brown eyes. There is an all bird with dark brown eyes. There is an all black bird with dark brown eyes."
"The bird is yellow with a tan belly.", "The bird is yellow. The bird is yellow with a belly. The bird is yellow with a tan belly."
"The bird has black crown.", "The bird has crown. The bird has black crown."
"A medium bird with grey wings.", "A bird with grey wings. A medium bird with grey wings."
"A bird with white spots on a white belly.", "A bird with spots. A bird with white spots. A bird with spots on a belly. A bird with spots on a white belly. A bird with white spots on a belly. A bird with white spots on a white belly."
"The bird has a small black bill.", "The bird has a bill. The bird has a black bill. The bird has a small bill. The bird has a small black bill."
"This bird has black feathers.", "This bird has feathers. This bird has black feathers."
"This is a grey bird with a brown belly.", "This is a bird. This is a grey bird. This is a bird with a belly. This is a grey bird with a belly. This is a bird with a brown belly. This is a grey bird with a brown belly."
"The bird has a brown head.", "The bird has a head. The bird has a brown head."
"The bird has a small eyering that is orange.", "The bird has a eyering that is. The bird has a small eyering that is."
"This bird has a white belly with brown wings.", "This bird has a belly. This bird has a white belly. This bird has a belly with wings. This bird has a white belly with wings. This bird has a belly with brown wings. This bird has a white belly with brown wings."
"This is a grey bird with a white breast.", "This is a bird. This is a grey bird. This is a bird with a breast. This is a grey bird with a breast. This is a bird with a white breast. This is a grey bird with a white breast."
