final_id,group_id,start_id,freq,text
-1,32,190,3, It went out of play.
-1,361,191,3, The ball got.
4,222,192,24, The batter missed the ball.
-1,351,193,10, It counts.
-1,238,194,6, It counts as a strike.
-1,298,195,3, It counts as a ball.
-1,283,196,4, That was.
41,14,197,3, That was out of the strike zone.
-1,219,198,4, It bounced on the ground.
36,71,199,3, The pitcher threw a ball.
-1,78,200,3, The ball was outside of the strike zone.
54,195,201,9, The umpire called the pitch a ball.
73,327,202,4, The center fielder caught the ball.
-1,180,203,8, The batter hit the ball to the shortstop.
-1,12,204,6, The batter hit the ball on the ground to the shortstop.
-1,162,205,3, The shortstop threw the ball.
-1,35,206,3, The shortstop threw the ball to the baseman.
-1,35,207,3, The shortstop threw the ball to the first baseman.
-1,269,208,4, The ball was hit to the baseman.
-1,197,209,5, The hitter hit a fly ball.
-1,101,210,4, The hitter missed.
77,336,211,3, The center fielder caught it.
36,71,212,36, The pitcher threw the ball.
-1,6,213,3, The hitter hit the ball on the ground.
-1,118,214,6, The catcher caught it.
47,86,215,9, The batter is.
16,43,216,5, Ball was hit.
16,43,217,3, Ball hit.
-1,138,218,4, No one caught it.
-1,20,219,4, The ball was hit into the field.
-1,20,220,4, The ball was hit into the field of play.
-1,254,221,3, The pitch was in the strike zone.
3,0,222,10, The batter swung the bat.
-1,113,223,4, The ball was thrown.
-1,198,224,5, Which landed.
29,152,225,30, It was hit.
-1,270,226,4, Which resulted.
2,46,227,13, Which was caught.
76,98,228,6, The batter hit a pop up.
-1,358,229,7, It was caught by the catcher.
37,47,230,12, The ball flew.
37,47,231,3, The ball flew in the air.
-1,109,232,3, The fielder fielded the ball.
-1,211,233,3, It crossed the plate below the strike zone.
-1,57,234,4, The baseman threw the ball.
68,350,235,12, The ball bounced.
-1,127,236,5, It went into the stands.
15,85,237,11, The batter hit the ball into the air.
33,8,238,12, The batter hit the ball out of play.
7,34,239,3, The batter hit the ball into the ground.
3,0,240,3, The batter hit the ball in play.
35,201,241,9, The ball was caught.
-1,234,242,5, The ball was caught in the air.
-1,359,243,3, The fielder could catch it.
65,61,244,4, The ball crossed home plate.
28,39,245,4, The batter hit it into field.
-1,40,246,3, The batter hit it into left field.
3,0,247,4, The batter swung at it.
-1,307,248,5, It fell.
-1,153,249,7, Who threw.
-1,139,250,7, Who threw to base.
-1,315,251,4, Who threw to first base.
-1,140,252,4, The batter got.
-1,115,253,4, It is not a strike.
-1,243,254,3, The runner made it.
12,45,255,5, Batter hit it.
3,0,256,13, Batter swung.
1,23,257,10, Batter missed.
-1,19,258,3, The pitch was outside the strike zone.
-1,13,259,5, Outside of the strike zone.
-1,193,260,4, An out was recorded.
74,205,261,11, Who caught it.
-1,250,262,3, Who caught it for an out.
-1,117,263,5, The umpire called it.
-1,352,264,4, The batter hit it for a hit.
-1,155,265,4, The batter hit it up.
-1,36,266,13, It was caught by the fielder.
-1,344,267,4, It passed.
64,128,268,4, It passed through the strike zone.
41,14,269,3, Out of the strike zone.
-1,259,270,3, Into the dirt.
-1,246,271,3, The umpire called it as a strike.
28,39,272,8, The batter hit the ball to field.
-1,40,273,4, The batter hit the ball to left field.
-1,95,274,3, The batter took a pitch.
-1,36,275,3, Which was caught by the fielder.
-1,316,276,6, The batter hit a fly ball to field.
-1,293,277,3, The batter hit a fly ball to left field.
3,0,278,3, The batter swung at a pitch.
-1,300,279,6, The batter hit the pitch.
46,223,280,6, The pitch was called a strike.
-1,328,281,5, The pitch was called a strike by the umpire.
-1,274,282,3, The pitch was out of the strike zone.
-1,176,283,3, He was thrown out.
-1,159,284,4, The batter hit the ball up.
-1,17,285,3, He hit.
19,5,286,6, The batter hit a foul ball.
41,14,287,3, It was out of strike zone.
-1,12,288,6, The batter hit a ground ball to the shortstop.
-1,80,289,3, Who threw to base for the out.
-1,217,290,3, Who threw to first base for the out.
-1,212,291,4, It hit the dirt.
-1,286,292,3, The batter got on base.
-1,58,293,19, This is labeled.
-1,90,294,4, This is labeled as a catch.
-1,294,295,5, The fielder caught the ball in the air.
53,69,296,6, This is labeled as a foul.
-1,310,297,3, The ball did not land.
-1,37,298,3, The ball did not land in the field.
-1,37,299,3, The ball did not land in the field of play.
-1,331,300,3, This is labeled as a ball.
-1,313,301,5, The ball was not.
-1,221,302,3, The ball was not in the strike zone.
-1,57,303,3, The baseman threw.
-1,172,304,4, It went over the plate.
-1,335,305,4, The catcher dropped the ball.
-1,179,306,3, It was not in play.
-1,297,307,8, The baseman caught the ball.
-1,218,308,4, The first baseman caught the ball.
-1,206,309,3, The batter grounded out.
-1,18,310,8, The batter hit the ball to the second baseman.
-1,12,311,8, The batter hit the ball on the ground to the second baseman.
28,39,312,12, The batter hit the ball into field.
-1,40,313,3, The batter hit the ball into left field.
-1,186,314,3, The batter reached first base.
-1,272,315,3, The batter hit a home run.
-1,149,316,3, The baseman fielded the ball.
-1,194,317,4, It was called a ball by the umpire.
36,71,318,3, Pitcher threw the ball.
20,9,319,5, The ball landed in the strike zone.
3,0,320,12, The batter swung contact.
3,0,321,6, The batter swung at the ball contact.
-1,168,322,3, The ball was not caught by a defender.
-1,151,323,5, The umpire called a strike.
-1,207,324,3, Which was.
36,71,325,4, The pitcher threw.
-1,229,326,3, It was fielded by the shortstop.
66,114,327,6, The batter leaves the ball.
3,0,328,6, The batter hits the ball.
-1,232,329,3, It goes wide.
-1,110,330,3, It goes wide to the left.
-1,306,331,3, It goes wide to the left of the batter.
-1,135,332,4, It was caught by the outfielder.
15,85,333,3, Batter hit the ball in the air.
-1,54,334,6, It did not cross the plate.
-1,210,335,5, It did not cross the plate in the strike zone.
-1,275,336,9, The pitch crossed the plate.
-1,339,337,5, It was caught by the right fielder.
-1,52,338,3, The batter hit the ball into right field.
57,309,339,7, The umpire ruled it a strike.
11,22,340,3, The batter made some contact.
-1,213,341,3, The batter failed the ball.
-1,73,342,3, The batter failed to put the ball into the field.
-1,73,343,3, The batter failed to put the ball into the field of play.
-1,119,344,3, A player was.
-1,97,345,3, A player in the field was.
50,64,346,4, The ball wasn't caught.
-1,120,347,3, The ball wasn't caught for an out.
-1,173,348,3, The ball landed in play.
-1,163,349,3, The ball landed in fair play.
-1,185,350,3, You don't have hit.
-1,108,351,3, You don't have hit as an option.
3,0,352,5, The batter swung the ball.
-1,167,353,5, The umpire indicated.
-1,150,354,3, The umpire didn't call it a strike.
-1,78,355,9, The ball was outside the strike zone.
24,51,356,3, The outfield player caught the ball.
24,51,357,3, The outfield player caught the ball his.
-1,42,358,3, The outfield player caught the ball in Mitt.
-1,42,359,3, The outfield player caught the ball in his mitt.
-1,264,360,4, The hitter missed the ball.
33,8,361,6, The batter hit the ball out of the field.
33,8,362,6, The batter hit the ball out of the field of play.
-1,146,363,3, The batter tipped the ball.
-1,267,364,3, The umpire called the pitch a strike.
-1,131,365,3, Who threw it.
-1,89,366,3, He threw it.
-1,129,367,3, It was above the strike zone.
-1,121,368,3, The batter hit a fly ball to right field.
52,62,369,3, The ball was hit on the ground.
16,43,370,3, The ball is hit.
-1,112,371,6, A ball settled.
-1,332,372,6, A batted ball settled.
-1,340,373,6, A ball settled on territory.
-1,136,374,6, A batted ball settled on territory.
45,67,375,6, A ball settled on foul territory.
-1,175,376,6, A batted ball settled on foul territory.
-1,208,377,3, A ball fell.
-1,262,378,3, A batted ball fell.
-1,268,379,3, A ball fell over territory.
-1,190,380,3, A batted ball fell over territory.
-1,174,381,3, A ball fell over foul territory.
-1,154,382,3, A batted ball fell over foul territory.
0,16,383,7, Batter did not swing.
70,30,384,3, Batter did not swing at pitch.
40,130,385,4, Batter hit a fly ball.
72,31,386,6, The batter hit the ball into center field.
-1,169,387,7, He missed.
-1,92,388,4, He hit the ball.
-1,157,389,3, The batter popped the ball up.
-1,107,390,3, The ball ended up.
-1,95,391,5, The batter took the pitch.
-1,166,392,6, The ball was below the strike zone.
-1,52,393,3, The batter hit the ball to right field.
0,16,394,7, The batter did nt swing.
3,0,395,9, Batter hit ball.
-1,330,396,3, Which was picked up.
-1,132,397,6, It landed in the strike zone.
-1,164,398,4, The baseman threw it.
-1,183,399,3, The second baseman threw it.
-1,44,400,3, The batter took a swing.
-1,100,401,4, It was out of bounds.
-1,142,402,4, It was caught by the left fielder.
-1,122,403,3, The ball was a strike.
-1,56,404,4, The batter took a ball.
-1,81,405,4, The hitter fouled the ball.
-1,291,406,3, The hitter was thrown out.
-1,96,407,11, The pitch was called a ball.
-1,184,408,8, The pitch was called a ball by the umpire.
-1,83,409,5, The pitch did not cross the plate.
-1,87,410,6, It was caught in the air by the fielder.
-1,65,411,4, It was caught in the air by the right fielder.
-1,133,412,7, The batter hit a line drive.
-1,41,413,3, The batter hit it in territory.
6,1,414,3, The batter hit it in foul territory.
-1,156,415,5, The ball was over the plate.
13,88,416,5, It is a strike.
33,8,417,4, The batter hit it out of play.
8,11,418,3, It was hit on the ground.
-1,103,419,7, It was hit out of bounds.
-1,105,420,3, It was hit into the air.
-1,134,421,4, The pitch went.
62,99,422,3, The ball was in territory.
-1,284,423,3, The ball was in foul territory.
70,30,424,3, The batter did not swing at a pitch.
-1,178,425,5, With the ball.
-1,102,426,4, The batter went.
18,7,427,5, It's a ball.
-1,49,428,3, Landed in the zone.
-1,141,429,3, Landed in the fair zone.
-1,25,430,3, It's a foul ball.
-1,214,431,4, The ball was in the center.
-1,276,432,3, The ball was in the center of the strike box.
-1,91,433,4, Which contacted the screen.
-1,111,434,4, Which contacted the screen behind home plate.
8,11,435,4, Which hit the ground.
3,0,436,7, The batter hit the ball for a ball.
19,5,437,7, The batter hit the ball for a foul ball.
-1,55,438,3, It was fielded by the pitcher.
-1,48,439,3, The ball was to the right.
72,31,440,3, The batter hit it to center field.
69,2,441,8, The umpire ruled it.
-1,66,442,3, He grounded out.
72,31,443,3, The batter hit the ball to centerfield.
-1,13,444,4, Outside the strike zone.
38,75,445,3, Which bounced.
-1,28,446,3, The baseman threw it to the baseman.
-1,28,447,3, The baseman threw it to the first baseman.
3,0,448,6, The batter swung bat.
3,0,449,6, The batter swung his bat.
3,0,450,3, The batter swung bat at the ball.
3,0,451,3, The batter swung his bat at the ball.
-1,148,452,5, It went into territory.
-1,147,453,4, It went into foul territory.
-1,137,454,4, It would not matter.
-1,70,455,3, It had been.
-1,292,456,3, It had been in the strike zone.
-1,124,457,3, It was out of the field.
-1,165,458,3, It was out of the field of play.
18,7,459,5, This is a ball.
-1,25,460,4, This is a foul ball.
-1,79,461,3, The swang at a pitch.
-1,145,462,3, The hitter swang at a pitch.
-1,74,463,3, The ball landed outside of play.
-1,50,464,3, The ball landed outside of fair play.
26,38,465,3, The ball landed at.
-1,59,466,3, The ball landed at by the batter.
-1,290,467,3, The pitch went through the strike zone.
-1,82,468,3, The batter drove the ball.
-1,68,469,3, Who threw the ball.
-1,27,470,3, The ball was hit in the air.
-1,24,471,4, The batter was caught.
-1,171,472,3, The umpire did not signal.
-1,106,473,3, The umpire did not signal for a strike.
33,8,474,3, The batter hit the ball out of the field for a ball.
-1,29,475,3, The batter hit the ball out of the field for a foul ball.
33,8,476,3, The batter hit the ball out of the field of play for a ball.
-1,29,477,3, The batter hit the ball out of the field of play for a foul ball.
-1,116,478,3, The baseman threw him out.
-1,144,479,3, It crossed.
-1,84,480,3, The ball crossed the strike zone.
65,61,481,3, The ball crossed the home plate area.
5,104,482,4, It is.
-1,76,483,9, The ball was not thrown.
-1,15,484,9, The ball was not thrown through the strike zone.
-1,192,485,3, It was a single.
-1,94,486,4, It did not land.
-1,93,487,4, It did not land in the field.
-1,77,488,4, It did not land in the field of play.
-1,53,489,3, Which went.
-1,32,490,3, Which went out of play.
-1,33,491,3, It is a foul.
-1,60,492,3, The umpire caught it.
