manual_id,final_id,group_id,start_id,freq,text
-1,-1,150,333,5, The umpire called a strike.
-1,-1,152,274,4, The ball was caught in the air.
-1,-1,153,391,3, A batted ball fell over foul territory.
-1,-1,154,447,4, The fielder caught the ball in the air.
-1,-1,155,395,7, He missed.
-1,-1,156,282,6, The batter hit a fly ball to field.
-1,-1,157,200,4, The batter hit it in the air.
-1,-1,157,68,4, The batter hit it into the air.
-1,-1,159,188,5, The batter hit the ball to the fielder.
-1,-1,160,292,3, Who threw to base for the out.
-1,-1,161,316,3, It was caught by the catcher outside of the strike zone.
-1,-1,162,405,3, Which was picked up.
-1,-1,163,455,3, He grounded out.
-1,-1,164,468,3, It had been in the strike zone.
-1,-1,165,342,3, It goes wide to the left of the batter.
-1,-1,166,425,5, The ball was over the plate.
-1,-1,167,154,3, Who threw the batter out.
-1,-1,168,350,5, It was caught by the right fielder.
-1,-1,169,311,4, The catcher dropped the ball.
-1,-1,17,132,23, The batter did not swing at the ball.
-1,-1,17,136,7, The batter didn't swing at it.
-1,-1,17,199,31, The batter did not swing at the pitch.
-1,-1,17,436,3, The batter did not swing at a pitch.
-1,-1,17,73,17, The batter did not swing at it.
-1,-1,170,366,5, The umpire indicated.
-1,-1,171,465,4, It went into foul territory.
-1,-1,173,478,3, The batter hit the ball in the air in territory.
-1,-1,175,275,4, It passed.
-1,-1,176,253,3, The fielder could catch it.
-1,-1,178,239,5, Which landed.
-1,-1,179,444,4, Which contacted the screen.
-1,-1,18,109,23, The batter hit the ball to the baseman.
-1,-1,18,317,8, The batter hit the ball to the second baseman.
-1,-1,180,474,3, The ball landed by the batter.
-1,-1,181,301,4, This is labeled as a catch.
-1,-1,182,417,8, The pitch was called a ball by the umpire.
-1,-1,183,18,3, The batter missed the pitch.
-1,-1,184,152,5, Into center field.
-1,-1,185,363,3, You don't have hit.
-1,-1,186,247,3, The fielder fielded the ball.
-1,-1,187,312,3, It was not in play.
-1,-1,189,400,6, The ball was below the strike zone.
-1,-1,190,53,3, The pitch was not in the strike zone.
-1,-1,193,145,4, Who threw him out.
-1,-1,194,159,4, It was caught by the baseman.
-1,-1,195,72,6, The ball crossed.
-1,-1,196,243,5, The batter hit a pop up.
-1,-1,197,116,6, It was outside.
-1,-1,198,58,4, It was not in the strike zone.
-1,-1,199,103,3, The ball did not cross the plate.
-1,-1,200,226,4, The hitter missed.
-1,-1,201,439,3, Landed in the fair zone.
-1,-1,202,464,5, It went into territory.
-1,-1,203,358,3, A player in the field was.
-1,-1,204,386,3, A ball fell.
-1,-1,205,481,4, The batter was caught.
-1,-1,206,216,3, The ball was outside of the strike zone.
-1,-1,206,368,9, The ball was outside the strike zone.
-1,-1,207,142,5, The third baseman caught it.
-1,-1,208,1,8, Who caught the ball in the air.
-1,-1,209,269,4, An out was recorded.
-1,-1,21,126,17, It was outside the strike zone.
-1,-1,21,164,4, It was outside of the strike zone.
-1,-1,210,433,3, The ball was in territory.
-1,-1,211,410,4, It was out of bounds.
-1,-1,212,389,3, A batted ball fell over territory.
-1,-1,213,169,3, The ball was hit out.
-1,-1,214,314,4, The first baseman caught the ball.
-1,-1,215,341,3, It goes wide to the left.
-1,-1,216,347,5, It did not cross the plate in the strike zone.
-1,-1,217,361,3, The ball landed in play.
-1,-1,218,27,4, The batter flew out.
-1,-1,219,214,4, It bounced on the ground.
-1,-1,221,346,6, It did not cross the plate.
-1,-1,222,293,3, Who threw to first base for the out.
-1,-1,224,99,3, The ball did not go.
-1,-1,226,148,3, The batter did swing.
-1,-1,227,64,6, It was a home run.
-1,-1,228,158,8, The batter hit the ball into the stands.
-1,-1,229,59,4, The ball was called a ball.
-1,-1,230,81,6, The ball was fielded.
-1,-1,231,165,3, The batter made it.
-1,-1,232,272,6, The umpire called it.
-1,-1,233,167,9, It was below the strike zone.
-1,-1,234,128,5, The batter did not make contact with the ball.
-1,-1,235,131,3, It did not go.
-1,-1,236,163,3, It was a ground ball.
-1,-1,237,160,5, The umpire ruled.
-1,-1,238,91,7, The ball went out of play.
-1,-1,239,194,3, The batter hit the ball to he.
-1,-1,240,294,6, Swing connected.
-1,-1,241,9,3, Who fielded the ball.
-1,-1,242,171,3, The ball was hit out to left field.
-1,-1,243,206,3, The center fielder caught it for an out.
-1,-1,244,156,3, Who threw the batter out at first base.
-1,-1,245,288,3, The pitch was out of the strike zone.
-1,-1,246,198,10, The batter made contact with the pitch.
-1,-1,247,119,21, It was caught in the air.
-1,-1,248,271,3, Who caught it for an out.
-1,-1,249,40,5, The hitter hit a line drive.
-1,-1,250,113,6, The ball was called a strike.
-1,-1,252,237,3, The pitch was in the strike zone.
-1,-1,253,89,4, The umpire determined.
-1,-1,254,261,4, Who threw to first base.
-1,-1,255,3,3, It was thrown.
-1,-1,256,56,3, It went into the strike zone.
-1,-1,257,176,9, The batter was thrown out.
-1,-1,259,54,4, To the baseman.
-1,-1,260,432,4, The pitch went.
-1,-1,261,387,3, A batted ball fell.
-1,-1,262,421,4, It was caught in the air by the right fielder.
-1,-1,263,127,4, This makes.
-1,-1,265,121,9, It was caught in the air by the center fielder.
-1,-1,267,388,3, A ball fell over territory.
-1,-1,268,207,3, The ball got.
-1,-1,269,224,4, The ball was hit to the baseman.
-1,-1,270,349,3, The pitch crossed the plate inside of the strike zone.
-1,-1,271,107,3, The batter hit the ball to the short stop.
-1,-1,272,267,3, The pitch was outside the strike zone.
-1,-1,273,5,5, Resulting in a called ball.
-1,-1,274,93,33, The batter made contact with the ball.
-1,-1,275,233,4, No one caught it.
-1,-1,276,445,4, Which contacted the screen behind home plate.
-1,-1,278,201,3, The umpire ruled the pitch a ball.
-1,-1,279,10,4, Who threw the runner out.
-1,-1,28,488,3, The baseman threw him out.
-1,-1,280,212,4, That was.
-1,-1,282,52,4, The pitch was not.
-1,-1,284,262,4, The batter got.
-1,-1,285,185,4, The umpire judged.
-1,-1,287,57,10, It was not.
-1,-1,288,90,11, The ball was out of the strike zone.
-1,-1,29,450,4, The batter hit the ball outside of the field for a foul ball.
-1,-1,29,452,4, The batter hit the ball outside of the field of play for a foul ball.
-1,-1,29,485,3, The batter hit the ball out of the field for a foul ball.
-1,-1,29,487,3, The batter hit the ball out of the field of play for a foul ball.
-1,-1,290,221,3, The shortstop threw the ball.
-1,-1,291,374,3, The batter tipped the ball.
-1,-1,292,283,3, The batter hit a fly ball to left field.
-1,-1,293,41,3, The shortstop caught the ball.
-1,-1,295,258,5, It fell.
-1,-1,296,211,3, It counts as a ball.
-1,-1,297,114,6, The ball was called a strike by the umpire.
-1,-1,298,285,5, The batter hit the pitch.
-1,-1,299,65,3, The ball traveled.
-1,-1,3,173,12, The right fielder caught the ball.
-1,-1,3,343,3, The right fielder caught it.
-1,-1,30,493,3, The batter went.
-1,-1,300,29,4, The centerfielder caught the ball.
-1,-1,301,106,3, The batter hit the ball to the stop.
-1,-1,302,324,4, It was called a ball by the umpire.
-1,-1,303,153,3, To the third baseman.
-1,-1,305,259,7, Who threw.
-1,-1,307,307,4, The ball was not.
-1,-1,308,303,3, The ball did not land.
-1,-1,310,315,3, It was caught outside of the strike zone.
-1,-1,311,77,10, The batter reached base.
-1,-1,312,32,3, It was out of play.
-1,-1,313,184,4, The ball was inside the strike zone.
-1,-1,314,25,3, The ball went into territory.
-1,-1,315,373,4, The hitter missed the ball.
-1,-1,316,383,6, A batted ball settled on territory.
-1,-1,317,44,4, The batter fouled it.
-1,-1,318,137,4, The batter hit it out of bounds.
-1,-1,319,108,13, The batter missed for a strike.
-1,-1,32,100,3, The ball did not go through the strike zone.
-1,-1,32,496,9, The ball was not thrown through the strike zone.
-1,-1,321,38,13, It was called a ball.
-1,-1,322,209,10, It counts.
-1,-1,323,141,10, The baseman caught it.
-1,-1,324,218,4, The center fielder caught the ball.
-1,-1,325,287,5, The pitch was called a strike by the umpire.
-1,-1,326,120,18, It was caught by the center fielder.
-1,-1,327,14,3, The pitch was inside.
-1,-1,328,407,5, The baseman threw it.
-1,-1,329,306,3, This is labeled as a ball.
-1,-1,33,504,3, It is a foul.
-1,-1,330,332,3, The ball was not caught by a defender.
-1,-1,332,48,3, This ball was hit.
-1,-1,333,382,6, A ball settled on territory.
-1,-1,336,149,5, The batter fouled off the pitch.
-1,-1,337,151,7, Into field.
-1,-1,338,310,4, It went over the plate.
-1,-1,339,26,3, The ball went into foul territory.
-1,-1,340,155,3, Who threw the batter out at base.
-1,-1,342,85,3, The ball landed on the ground.
-1,-1,343,187,3, It was inside.
-1,-1,344,234,3, The batter did not hit it.
-1,-1,345,174,4, The batter hit the ball into the stands in territory.
-1,-1,347,12,3, The ball landed outside the strike zone.
-1,-1,348,15,4, The batter hit a grounder.
-1,-1,349,189,3, The batter hit the ball to the left fielder.
-1,-1,35,222,3, The shortstop threw the ball to the baseman.
-1,-1,35,223,3, The shortstop threw the ball to the first baseman.
-1,-1,350,82,5, This resulted.
-1,-1,354,182,5, The hitter hit it.
-1,-1,355,66,6, The umpire signaled.
-1,-1,356,46,8, This is a strike.
-1,-1,359,298,4, It hit the dirt.
-1,-1,36,273,13, It was caught by the fielder.
-1,-1,36,281,3, Which was caught by the fielder.
-1,-1,360,409,4, The batter took a swing.
-1,-1,361,102,3, The ball was called a ball by the umpire.
-1,-1,362,396,4, He hit the ball.
-1,-1,363,219,8, The batter hit the ball to the shortstop.
-1,-1,39,476,3, The batter drove the ball.
-1,-1,4,170,3, The ball was hit out to field.
-1,-1,4,235,4, The ball was hit into the field.
-1,-1,4,236,4, The ball was hit into the field of play.
-1,-1,41,20,14, The batter hit it into territory.
-1,-1,41,423,3, The batter hit it in territory.
-1,-1,42,161,18, The batter hit the ball into territory.
-1,-1,42,177,6, The batter hit the ball in territory.
-1,-1,43,501,4, With the ball.
-1,-1,45,498,4, It did not land.
-1,-1,48,321,3, The batter reached first base.
-1,-1,5,228,3, The hitter hit the ball on the ground.
-1,-1,5,50,3, The hitter hit a ground ball.
-1,-1,51,454,6, The umpire ruled it a ball.
-1,-1,52,430,7, It was hit out of bounds.
-1,-1,54,480,3, The ball was hit in the air.
-1,-1,55,453,3, It was fielded by the pitcher.
-1,-1,56,263,4, It is not a strike.
-1,-1,56,8,4, It was not a strike.
-1,-1,57,431,3, It was hit into the air.
-1,-1,58,419,4, The pitch did not cross the plate inside of the strike zone.
-1,-1,59,505,3, The umpire caught it.
-1,-1,60,122,21, The batter hit the ball to the outfield.
-1,-1,60,62,14, The batter hit the ball into the outfield.
-1,-1,61,469,3, It was out of the field.
-1,-1,62,357,3, A player was.
-1,-1,63,248,4, The baseman threw the ball.
-1,-1,63,309,3, The baseman threw.
-1,-1,64,277,4, The batter hit it to center field.
-1,-1,64,394,6, The batter hit the ball into center field.
-1,-1,65,489,3, It crossed.
-1,-1,66,446,4, Which making.
-1,-1,68,492,3, The ball crossed the home plate area outside of the strike zone.
-1,-1,69,473,3, The Hitter Swang at a pitch.
-1,-1,7,110,20, The batter hit the ball on the ground to the baseman.
-1,-1,7,146,8, The batter hit a ground ball to the baseman.
-1,-1,7,220,6, The batter hit the ball on the ground to the shortstop.
-1,-1,7,291,6, The batter hit a ground ball to the shortstop.
-1,-1,7,318,8, The batter hit the ball on the ground to the second baseman.
-1,-1,70,467,3, It had been.
-1,-1,71,475,3, The pitch went through the strike zone.
-1,-1,72,483,3, The umpire did not signal for a strike.
-1,-1,73,355,3, The batter failed to put the ball into the field.
-1,-1,73,356,3, The batter failed to put the ball into the field of play.
-1,-1,75,304,3, The ball did not land in the field.
-1,-1,75,305,3, The ball did not land in the field of play.
-1,-1,76,499,4, It did not land in the field.
-1,-1,77,500,4, It did not land in the field of play.
-1,-1,79,362,3, The ball landed in fair play.
-1,-1,8,456,5, Outside the strike zone.
-1,-1,8,7,8, Outside of the strike zone.
-1,-1,80,414,4, The hitter fouled the ball.
-1,-1,82,490,3, The ball crossed the strike zone.
-1,-1,83,371,3, The outfield player caught the ball in mitt.
-1,-1,83,372,3, The outfield player caught the ball in his mitt.
-1,-1,84,482,3, The umpire did not signal.
-1,-1,86,351,3, The batter hit the ball into right field.
-1,-1,86,402,3, The batter hit the ball to right field.
-1,-1,87,334,3, Which was.
-1,-1,88,390,3, A ball fell over foul territory.
-1,-1,89,479,3, The batter hit the ball in the air in foul territory.
-1,-1,91,408,3, The second baseman threw it.
-1,-1,92,413,4, The batter took a ball.
-1,-1,93,418,5, The pitch did not cross the plate.
-1,-1,94,495,9, The ball was not thrown.
-1,-1,95,397,3, The batter popped the ball up.
-1,-1,96,225,4, The hitter hit a fly ball.
-1,-1,98,295,6, Swing connected with the ball.
