manual_id,final_id,group_id,simple_prune_id,freq,text
-1,-1,1488,417,3,A batted ball fell.
-1,-1,2868,419,3,A batted ball fell over territory.
16,-1,2755,422,5,A ball.
-1,-1,666,423,3,A batted ball.
0,-1,666,424,8,Batter did not swing.
-1,-1,1727,426,6,The batter hit the ball into center field.
3,-1,2197,427,4,He hit the ball.
3,-1,2472,428,4,Hit the ball.
-1,-1,1959,430,5,The batter took the pitch.
97,-1,1385,431,6,The ball was below the strike zone.
32,-1,24,432,7,The batter hit the ball to field.
-1,-1,2814,433,3,The batter hit the ball to right field.
3,-1,2629,435,8,Batter hit ball.
-1,-1,2407,436,3,Which was picked.
10,-1,2079,437,6,It landed in the strike zone.
34,-1,1865,438,5,The baseman threw it.
123,-1,2663,440,4,The batter took a swing.
11,-1,2832,441,3,The batter makes contact.
-1,-1,1851,442,4,The batter took a ball.
44,-1,1876,443,4,The ball was low.
37,-1,1400,444,6,The ball was over the plate.
-1,-1,77,445,3,The hitter was thrown.
-1,-1,264,449,6,Where it was caught in the air by the fielder.
-1,-1,1219,450,4,Where it was caught in the air by the right fielder.
73,-1,1678,451,8,The batter hit a line drive.
3,-1,361,454,3,The batter hit it for a hit.
6,-1,1665,456,3,It was hit on the ground.
-1,-1,2236,457,3,It was hit into the air.
-1,-1,81,458,3,The ball was in territory.
41,-1,2725,459,3,The ball was in foul territory.
-1,-1,249,461,3,The batter hit the ball to left field.
0,-1,1999,462,3,The batter did not swing at a pitch.
26,-1,241,463,9,Missed.
16,-1,326,464,5,It's a ball.
-1,-1,2196,465,3,Landed in the zone.
-1,-1,2325,466,3,Landed in the fair zone.
66,-1,2444,467,3,It's a foul ball.
-1,-1,313,468,3,The ball was in the center.
-1,-1,2138,471,4,Which making.
-1,-1,2,472,4,The fielder caught the ball in the air.
6,-1,430,473,4,Which hit the ground.
-1,-1,1736,476,6,The umpire ruled it a ball.
-1,-1,2666,477,3,He grounded.
40,-1,2288,478,3,Which bounced.
-1,-1,1787,479,4,The baseman threw it to the baseman.
-1,-1,268,481,3,The left fielder.
2,-1,144,482,6,The batter swung bat.
2,-1,1663,483,3,The batter swung bat at the ball.
41,-1,31,485,4,It went into foul territory.
-1,-1,31,486,4,It would not matter.
-1,-1,31,487,3,It had been.
66,-1,335,490,4,This is a foul ball.
-1,-1,1444,492,3,The Hitter Swang at a pitch.
-1,-1,680,493,3,The pitch went.
10,-1,48,494,3,The pitch went through the strike zone.
-1,-1,194,497,3,The batter hit the ball in the air in territory.
-1,-1,1224,498,3,The batter hit the ball in the air in foul territory.
126,-1,2065,499,4,The batter was caught.
-1,-1,2583,500,3,The umpire did not signal.
-1,-1,2743,501,3,The umpire did not signal for a strike.
34,-1,1956,502,3,The baseman threw him.
10,-1,1532,504,3,The ball crossed the strike zone.
45,-1,2320,505,4,The ball crossed the home plate area.
8,-1,47,507,3,It is.
-1,-1,2748,508,3,The ball went low.
46,-1,1916,509,4,Caught ball.
111,-1,1995,514,4,It did not land in the field.
111,-1,38,515,4,It did not land in the field of play.
-1,-1,2445,516,3,The shortstop.
-1,-1,207,517,4,With.
-1,-1,1408,518,4,Which went.
-1,-1,1814,519,3,It is a foul.
-1,-1,137,520,3,The umpire caught it.
-1,0,40,164,17,Into.
-1,0,40,276,4,Where it bounced.
-1,0,40,421,3,A batted ball fell over foul territory.
0,0,40,434,7,The batter did nt swing.
22,0,40,447,8,The pitch was called a ball by the umpire.
89,0,40,448,5,The pitch did not cross the plate.
-1,0,40,470,4,Which contacted the screen behind home plate.
-1,0,40,513,4,It did not land.
-1,1,348,91,5,Able.
10,1,348,146,15,The ball was in the strike zone.
-1,2,23,16,3,Who fielded the ball.
16,2,23,61,16,It a ball.
-1,2,23,64,18,To.
93,2,23,131,4,It is a foul ball.
4,2,23,166,7,The batter hit it on the ground.
6,2,23,183,4,The ball was hit on the ground.
0,2,23,221,31,The batter did not swing at the pitch.
83,2,23,235,3,The pitcher threw a ball.
32,2,23,348,12,The batter hit the ball into field.
54,3,18,5,5,High.
55,3,18,6,7,Resulting.
64,3,18,31,3,The ball went into territory.
-1,3,18,123,20,The batter hit the ball on the ground to the baseman.
-1,3,18,125,9,The batter hit the ball on the ground to the third baseman.
27,3,18,189,4,Was hit.
42,3,18,323,6,Swing connected with the ball.
11,3,18,384,3,The batter made some contact.
-1,3,18,391,3,You don't have hit.
-1,3,18,474,4,Where it was caught by the left fielder.
-1,3,18,484,5,It went into territory.
4,4,37,96,31,The batter hit a ground ball.
2,4,37,259,11,The batter swung the bat.
-1,4,37,429,3,The ball ended.
-1,4,37,511,9,The ball was not thrown through the strike zone.
0,5,7,55,202,The batter did not swing.
30,5,7,395,6,The ball was outside the strike zone.
56,6,497,7,6,Resulting in a ball.
-1,6,497,469,4,Which contacted the screen.
25,7,2561,402,3,The umpire called the pitch a strike.
5,8,4,263,12,Which was caught.
49,8,4,264,6,The batter hit a pop.
3,8,4,287,5,Batter hit it.
15,9,265,92,42,The batter hit the ball in the air.
44,10,99,165,4,It went low.
101,10,99,188,3,The ball was fouled.
-1,10,99,249,6,Landed.
19,11,29,65,67,It went.
10,11,29,66,3,It went into the strike zone.
-1,11,29,495,3,The batter drove the ball.
-1,11,29,496,5,Who threw the ball.
83,12,648,354,3,Pitcher threw the ball.
59,13,26,14,4,It was not a strike.
6,13,26,94,4,It landed on the ground.
-1,13,26,195,9,The batter was thrown.
-1,13,26,277,3,The fielder could catch it.
17,13,26,400,4,The batter foul.
-1,13,26,488,3,It had been in the strike zone.
5,14,76,265,7,It was caught by the catcher.
-1,14,76,337,4,The baseman.
89,14,76,376,6,It did not cross the plate.
7,15,294,132,37,Where it was caught.
-1,16,57,163,3,Behind.
11,16,57,220,10,The batter made contact with the pitch.
-1,16,57,369,3,It goes too wide to the left.
22,16,57,446,11,The pitch was called a ball.
-1,17,17,260,6,Which landed.
27,17,17,261,31,It was hit.
-1,17,17,262,5,Which resulted.
-1,17,17,285,5,Who threw to first base.
-1,17,17,305,3,The batter took a pitch.
-1,17,17,331,3,The ball did not land.
111,17,17,332,3,The ball did not land in the field.
16,18,254,39,13,It was a ball.
2,18,254,407,5,The batter swings.
98,19,352,184,5,The ball was hit to field.
103,19,352,224,6,It went into the stands.
12,19,352,252,4,Ball hit.
10,19,352,300,4,It passed through the strike zone.
-1,19,352,406,3,Up.
-1,19,352,491,3,The hitter Swang.
-1,19,352,510,9,The ball was not thrown.
-1,20,130,368,3,It goes too wide.
-1,21,166,506,3,The batter went.
62,22,101,17,4,Who threw the runner.
-1,22,101,157,3,Batter.
-1,23,316,209,3,The batter hit the ball to the left fielder.
23,26,2671,0,11,Who caught the ball.
11,28,312,225,3,Batter made contact.
-1,29,281,168,8,The batter hit the ball into the stands.
0,29,281,201,3,The hitter didn't swing.
20,29,281,237,3,The center fielder caught the ball.
-1,29,281,238,8,The batter hit the ball to the shortstop.
109,29,281,301,4,The batter hit it to center field.
3,29,281,358,3,The batter hit the ball for a hit.
-1,32,708,210,6,The left fielder caught the ball.
-1,32,708,412,6,A ball settled on territory.
30,33,332,114,3,The ball did not go through the strike zone.
-1,33,332,382,3,Without.
-1,34,2697,306,3,Which was caught by the fielder.
3,35,1685,71,411,The batter hit the ball.
-1,38,106,370,3,It goes too wide to the left of the batter.
-1,38,106,420,3,A ball fell over foul territory.
-1,38,106,439,3,The second baseman threw it.
5,40,330,247,6,The catcher caught it.
99,41,251,185,4,The ball was hit to left field.
30,42,402,290,3,The pitch was outside the strike zone.
66,43,307,40,4,It was a foul ball.
-1,44,0,135,8,Where it was caught in the air by the center fielder.
82,44,0,136,22,The batter hit the ball to the outfield.
-1,44,0,140,4,This makes.
9,44,0,190,27,The fielder caught the ball.
-1,44,0,392,3,You don't have hit as an option.
-1,44,0,393,5,The umpire indicated.
-1,44,0,475,3,Contact.
18,49,2401,455,5,It is a strike.
-1,50,86,95,9,In.
119,50,86,401,3,The batter tipped the ball.
-1,50,86,425,4,Batter hit a fly ball.
16,50,86,489,5,This is a ball.
3,51,255,73,12,The batter hit.
36,51,255,138,15,It was in the strike zone.
8,52,191,37,115,It was.
13,53,1575,362,5,The umpire called a strike.
30,54,1829,266,12,The ball flew.
63,55,2560,452,3,The batter hit it in territory.
27,56,171,110,6,It was a hit.
9,57,525,396,3,The outfield player caught the ball.
0,60,464,148,7,The batter didn't swing at it.
-1,66,69,460,6,Where it was fielded.
28,68,347,93,27,It landed.
14,68,347,453,3,The batter hit it in foul territory.
32,71,1642,80,6,The batter hit it to field.
-1,72,1919,480,3,The baseman threw it to the first baseman.
30,77,223,21,3,The ball landed outside the strike zone.
50,77,223,418,3,A ball fell over territory.
-1,77,223,503,3,It crossed.
51,77,223,512,3,It was a single.
