manual_id,final_id,group_id,raw_id,freq,text
15,23,1174,131,2,The hitter hit a ball.
15,23,1174,616,30,The hitter hit the ball.
15,23,1174,2833,2,The hitter hit ball.
16,24,18,880,13,Which was caught.
16,24,18,1735,1,Which is caught.
16,24,18,3439,1,It being caught.
17,25,2665,0,12,Who caught the ball.
18,26,852,412,16,It was in the strike zone.
18,26,852,1758,1,Was in strike zone.
7,27,2915,1160,19,Batter swung.
19,28,155,94,19,It was a ball.
19,28,155,400,10,It is a ball.
19,28,155,488,3,Which is a ball.
19,28,155,1659,1,It was ball.
19,28,155,2119,1,It would be a ball.
19,28,155,2690,6,It's a ball.
19,28,155,3111,1,That is a ball.
19,28,155,3151,5,This is a ball.
19,28,155,3814,1,This was ball.
-1,29,3363,71,53,The ball went.
20,30,85,261,8,The batter hit it to field.
20,30,85,285,1,The batter hit it in field.
20,30,85,331,7,The batter hit the ball into the field.
20,30,85,332,6,The batter hit the ball into the field of play.
20,30,85,632,2,The hitter hit the ball to field.
20,30,85,837,2,The batter hit the ball into the play of field.
20,30,85,847,2,The batter hit the side the field.
20,30,85,849,2,The batter hit the side the field of play.
20,30,85,1111,6,The batter hit it into field.
20,30,85,1420,2,The batter hit it towards field.
20,30,85,1580,13,The batter hit the ball into field.
20,30,85,1848,1,The hitter hit it into the field.
20,30,85,1849,1,The hitter hit it into the field of play.
20,30,85,1923,2,The batter hit into field.
20,30,85,2019,1,The batter hit the ball side the field.
20,30,85,2020,1,The batter hit the ball side the field of play.
20,30,85,2175,7,The batter hit the ball to field.
20,30,85,2193,1,The batter hit the ball into the field for a hit.
20,30,85,2879,2,The batter hit it to field for a hit.
20,30,85,4173,1,The batter lined the ball into field.
20,30,85,4200,2,The batter hit the ball towards field.
20,30,85,4411,1,The batter hit it on the field.
20,30,85,4464,1,The hitter hit the ball into field.
21,31,786,37,11,The batter fouled the pitch.
21,31,786,1276,4,The batter fouled a pitch.
7,32,228,854,13,The batter swung the bat.
7,32,228,1962,5,The batter swings.
7,32,228,2635,2,The batter swings bat.
7,32,228,3044,8,The batter swung bat.
7,32,228,3045,5,The batter swung bat at the ball.
7,32,228,3856,1,The batter swing.
22,33,163,40,51,The ball landed.
22,33,163,898,1,The ball landing.
23,34,446,114,30,The umpire called it a ball.
23,34,446,1918,4,The umpire called a ball.
22,35,2702,306,31,It landed.
23,36,92,446,20,The ball was in the strike zone.
23,36,92,1637,5,The ball landed in the strike zone.
2,37,385,670,15,Batter hit the ball.
2,37,385,2208,14,Batter hit ball.
2,37,385,2670,1,Batter hit a ball.
-1,38,3577,2684,9,Missed.
7,39,2396,455,15,He swung.
7,40,3032,16,17,The hitter swung.
24,41,194,429,9,The outfielder caught the ball.
24,41,194,745,1,An outfielder caught the ball.
24,42,365,96,6,The outfielder caught it.
24,42,365,2897,1,An outfielder caught it.
24,43,66,1022,11,The ball was caught.
24,43,66,2694,2,The ball got caught.
25,44,21,110,18,The batter hit a fly ball.
25,44,21,882,1,The hitter hit a fly ball into field.
25,44,21,1248,1,The batter hit it via flyout.
25,44,21,1249,1,The batter hit it via flyout to field.
25,44,21,1279,7,The batter hit a fly ball to field.
25,44,21,2839,2,The batter hit a fly ball in field.
25,44,21,3002,1,The batter hit a fly ball towards field.
25,44,21,3870,1,The batter hit a fly.
25,44,21,3872,1,The batter hit a fly to field.
26,45,77,743,3,The pitcher threw a ball.
26,45,77,811,43,The pitcher threw the ball.
26,45,77,897,1,The pitcher threw pitch.
26,45,77,1677,4,The pitcher threw.
26,45,77,2864,2,The pitcher threw a pitch.
26,45,77,3383,1,The pitcher threw an pitch ball.
-1,46,3475,1169,12,Caught.
27,47,2523,742,6,The batter failed.
-1,48,3301,829,19,Ball.
28,49,150,157,7,The batter fouled it.
28,49,150,3929,2,The batter fouled the ball.
28,49,150,4320,1,The batter fouling it.
28,49,150,4650,1,The batter fouled.
29,50,83,253,2,The batter hit it into the stands.
29,50,83,490,9,The batter hit the ball into the stands.
29,50,83,739,1,The batter hit the ball into the side stands.
29,50,83,1352,1,The batter hit a ball into the stands.
30,51,3523,195,21,It a ball.
30,52,726,14,8,Resulting in a ball.
30,52,726,3676,2,This resulted in a ball.
31,53,3130,903,14,The ball flew.
32,54,374,185,12,It was not caught.
32,54,374,3419,1,It was n't caught.
33,55,1994,1981,6,A ball settled on foul territory.
34,56,3441,396,24,The ball crossed the plate.
4,57,832,1834,9,The umpire ruled it a strike.
4,57,832,3843,2,The umpire ruled it as a strike.
35,58,858,17,7,The hitter fouled the ball.
35,58,858,4471,1,The hitter fouling the ball.
36,59,38,506,4,It was a ground ball.
36,59,38,1648,1,A ground ball.
36,59,38,2969,1,It is a ground ball.
36,59,38,3063,2,It a ground ball.
36,59,38,4472,1,The ground ball.
37,60,3635,377,8,It was fielded.
38,61,178,1124,9,Who threw to base.
38,61,178,3847,2,Who threw it to base.
39,62,54,3819,1,The batter popped the ball into foul territory.
39,62,54,4324,1,The batter popped the ball in foul territory.
39,62,54,4439,1,The batter popped into foul territory.
0,63,458,553,1,The hitter did not swing at the pitch.
0,63,458,690,46,The batter did not swing at the pitch.
0,63,458,2675,3,The batter did not swing at a pitch.
0,63,458,3073,1,The batter did not swing at the pitch with bat.
0,63,458,4371,1,The batter did n't swing at the pitch.
40,64,35,290,10,The batter reached base.
40,64,35,916,1,The hitter reached the base.
40,64,35,4207,1,The hitter reached base.
-1,65,3156,362,17,Out.
41,66,226,73,3,The ball went into foul territory.
41,66,226,138,2,The ball landed in foul territory.
41,66,226,2637,3,The ball was in foul territory.
41,66,226,3598,1,The ball went in foul territory.
42,67,165,224,15,The batter hit the ball into the outfield.
42,67,165,252,1,The batter hit it into the outfield.
42,67,165,406,26,The batter hit the ball to the outfield.
42,67,165,510,1,The batter hit to the outfield.
42,67,165,648,1,The batter hit a ball in the outfield.
24,67,165,1919,2,The batter hit the ball over the outfielders.
42,67,165,3032,2,The player hit it to the outfield.
42,67,165,3130,2,The hitter lined a ball into the outfield.
42,67,165,3131,2,The hitter lined a ball into the outfield for a hit.
42,67,165,3135,2,He hit the ball into the outfield.
42,67,165,3486,1,The batter hit the ball into the outfield for a hit.
42,67,165,3488,2,The batter hit the ball on the ground into the outfield.
42,67,165,3489,1,The batter hit the ball on the ground into the outfield for a hit.
42,67,165,3492,1,The batter hit the ball into the outfield for a base hit.
42,67,165,3493,1,The batter hit the ball on the ground into the outfield for a base hit.
42,67,165,4046,1,The batter hit the ball to outfield.
42,67,165,4480,1,The hitter hit the ball into the outfield.
43,68,2577,452,8,It touched the ground.
-1,69,2159,1192,14,Who caught it.
44,70,20,1590,3,The batter hit a home run.
44,70,20,1713,3,The batter hit the ball for a home run.
44,70,20,3290,2,The batter drove the ball for a home run.
44,70,20,3293,1,The batter drove the ball in field for a home run.
45,71,3651,266,8,The ball crossed.
46,72,2732,680,6,The batter caught the ball.
3,73,119,1566,2,The batter grounded.
3,73,119,3143,3,The batter grounded the ball.
3,73,119,3224,1,The batter grounded it.
47,74,175,1340,1,It a hit.
47,74,175,1424,1,It hit.
47,74,175,2310,1,It is hit.
47,74,175,2702,2,It's a hit.
47,74,175,3215,1,That is hit.
48,75,50,708,3,The center fielder caught it for an out.
48,75,50,770,1,The center fielder caught the ball for an out.
48,75,50,1209,1,Where the center fielder caught it for an out.
48,75,50,1375,1,It was caught by the center fielder for the out.
48,75,50,4451,1,Where it was caught by the center fielder for the out.
49,76,900,431,3,It did not go.
49,76,900,4409,1,It did n't go.
50,77,2301,81,4,The batter flew to center.
20,-1,0,263,4,The batter hit it to left field.
20,-1,0,628,3,The batter hit the ball to the left fielder.
20,-1,0,1112,5,The batter hit it into left field.
20,-1,0,1216,1,The batter hit the left field line.
20,-1,0,1219,1,The batter hit the left field line for a hit.
20,-1,0,1266,1,The batter hit the ball to left center field.
20,-1,0,1581,3,The batter hit the ball into left field.
20,-1,0,1635,1,The batter hit the ball down the left field line.
20,-1,0,1636,1,The batter hit the ball down the left field line for a hit.
20,-1,0,1830,2,The batter hit it to left center field.
20,-1,0,1925,2,The batter hit into left field.
20,-1,0,2194,1,The batter hit the ball into the left field.
20,-1,0,2195,1,The batter hit the ball into the left field for a hit.
20,-1,0,2673,3,The batter hit the ball to left field.
20,-1,0,3159,1,The batter hit a line drive to the left fielder.
20,-1,0,4174,1,The batter lined the ball into left field.
20,-1,0,4458,1,The batter hit it down the left field line.
20,-1,0,4552,2,The batter hit it into center left field.
-1,-1,1,1799,1,Where the center fielder easily caught.
-1,-1,1,3607,1,Which was easily caught by the center fielder.
-1,-1,2,1577,10,The batter hit the ball on the ground to the second baseman.
-1,-1,2,1951,1,The batter hit a ground ball between second base.
-1,-1,2,2300,1,The batter hit a ground ball to second baseman.
-1,-1,2,2302,1,The batter hit a ground ball to second base.
-1,-1,2,3288,1,The batter hit the ball on the ground to the 2nd baseman.
-1,-1,2,3340,2,The batter hit the ball on the ground between the second baseman.
-1,-1,2,3425,1,It was hit on the ground to the second baseman.
-1,-1,2,4459,1,The batter hit a ground ball to the second baseman.
2,-1,3,2053,8,He hit the ball.
2,-1,3,2178,1,The man hit the ball.
2,-1,3,2939,1,He hit a ball.
2,-1,3,4239,1,He hits the ball.
51,-1,4,223,2,The ball went to outside of the strike zone.
51,-1,4,1148,1,The ball looked outside the strike zone.
51,-1,4,1149,1,The ball looked outside the strike zone to me.
51,-1,4,1880,2,The ball went outside the strike zone.
51,-1,4,1881,6,The ball was outside the strike zone.
51,-1,4,3985,1,The ball wound outside the strike zone.
-1,-1,5,2616,1,The batter was thrown to the shortstop.
-1,-1,5,2618,1,The batter was thrown at base to the shortstop.
-1,-1,5,2620,1,The batter was thrown at base on a ground ball to the shortstop.
-1,-1,5,2622,1,The batter was thrown at first base to the shortstop.
-1,-1,5,2624,1,The batter was thrown at first base on a ground ball to the shortstop.
-1,-1,6,920,1,The second baseman threw the ball to base.
-1,-1,6,922,1,The second baseman threw the ball to First base.
-1,-1,6,1472,1,The second baseman threw to first.
-1,-1,6,2249,2,The second baseman threw it to first.
-1,-1,6,2397,1,2nd baseman threw to baseman.
-1,-1,6,2398,1,2nd baseman threw to first baseman.
-1,-1,6,2991,2,The second baseman threw it to the baseman.
-1,-1,6,2993,2,The second baseman threw it to the first baseman.
-1,-1,6,3326,2,The baseman threw it to the second baseman.
-1,-1,6,3715,2,The second baseman threw the ball to the baseman.
-1,-1,6,3719,2,The second baseman threw the ball to the first baseman.
-1,-1,6,3728,2,The second baseman threw to the baseman.
-1,-1,6,3730,2,The second baseman threw to the first baseman.
-1,-1,7,1365,1,The ball bounced to the third baseman.
-1,-1,7,4306,1,It bounced to the third baseman.
-1,-1,8,316,1,This did not have a feed of the center field camera in dugout.
-1,-1,8,317,1,This did not have a direct feed of the center field camera in dugout.
-1,-1,9,2836,2,The batter hit a fly ball for a stand.
-1,-1,9,2841,2,The batter hit a fly ball in field for a stand.
-1,-1,9,2842,2,The batter hit a fly ball off the wall in field for a stand.
-1,-1,10,1490,1,The batter hit it into a force by the baseman.
-1,-1,10,1498,1,The batter hit it into a force at base by the baseman.
-1,-1,10,1502,1,The batter hit it into a force at first base by the baseman.
-1,-1,11,4279,1,The baseman Kyle bregman fields the ball.
-1,-1,11,4283,1,The baseman Kyle bregman fields the ball off the dirt.
-1,-1,12,1211,1,The hitter popped the ball to center fielder.
-1,-1,12,1212,1,The hitter popped the ball to left center fielder.
-1,-1,12,1213,1,The hitter popped the ball to deep left center fielder.
34,-1,13,4027,1,The ball crossed the plate on the edge.
34,-1,13,4029,1,The ball crossed the plate on the outside edge.
52,-1,14,758,1,The batter hit the ball on the ground to the first baseman.
52,-1,14,1961,1,The ball was hit on the ground to the first baseman.
52,-1,14,2174,1,The batter hit a ground ball to first baseman.
52,-1,14,2303,1,The batter hit a ground ball to the first baseman.
52,-1,14,2418,1,The batter hit a groundball to the first baseman.
52,-1,14,2896,1,The batter hit it on the ground to the 1st baseman.
52,-1,14,3338,2,The batter hit the ball on the ground between the first baseman.
-1,-1,15,3517,2,Hit it into territory on the third base side.
-1,-1,15,3518,2,Hit it into foul territory on the third base side.
-1,-1,15,3519,2,Hit it into territory on the third base side of the field.
-1,-1,15,3520,2,Hit it into foul territory on the third base side of the field.
53,-1,16,636,1,The ball went right over the plate.
53,-1,16,660,1,The ball went over the plate.
53,-1,16,2359,8,The ball was over the plate.
54,-1,17,43,1,The pitch was very low.
54,-1,17,601,3,The pitch was low.
54,-1,17,2118,1,The pitch low.
54,-1,17,2607,2,The pitch went low.
55,-1,19,4725,1,The catcher threw the batter.
55,-1,19,4726,1,The catcher threw the batter at base.
1,-1,22,804,5,The hitter missed.
1,-1,22,2851,2,The hitter took a miss.
56,-1,23,737,3,It bounced on the ground.
56,-1,23,2982,2,Which bounced on the ground.
56,-1,23,3093,1,It bounced off the ground.
56,-1,23,3991,1,Which in turn bounced on the ground.
-1,-1,24,1470,3,The second baseman threw.
-1,-1,24,2248,4,The second baseman threw it.
-1,-1,24,2396,1,2nd baseman threw.
-1,-1,25,254,1,The batter hit it into the stands to the left.
-1,-1,25,255,1,The batter hit it into the stands to the left of the line.
-1,-1,25,256,1,The batter hit it into the stands to the left of the foul line.
-1,-1,25,1331,1,The batter hit it into the stands in left field.
-1,-1,26,1568,1,The batter grounded to the second baseman.
-1,-1,26,1593,1,The batter grounded to second.
-1,-1,27,4281,1,The third baseman Kyle bregman fields the ball.
-1,-1,27,4284,1,The third baseman Kyle bregman fields the ball off the dirt.
7,-1,28,121,37,The batter swung at the pitch.
7,-1,28,855,2,The batter swung the bat at the pitch.
7,-1,28,1284,4,The batter swung at a pitch.
7,-1,28,1893,2,The hitter swung at the pitch.
7,-1,28,2024,1,The batter swung on the pitch.
7,-1,28,2346,1,The batter took a swing at the pitch.
7,-1,28,3932,1,The batter swung hit the pitch.
57,-1,29,2899,1,That was caught by shortstop.
57,-1,29,3651,1,Which was caught by the shortstop.
57,-1,29,4510,2,It was caught by shortstop.
57,-1,29,4611,1,The ball was caught by the shortstop.
58,-1,30,174,1,This was a fly ball.
58,-1,30,3556,1,Was a fly ball.
58,-1,30,4086,1,It was a fly ball.
-1,-1,31,2887,1,Caught by a player by an infielder.
-1,-1,31,2889,1,Caught by a player in field by an infielder.
-1,-1,32,2917,2,It pass into mitt.
-1,-1,32,2919,2,It went into mitt.
59,-1,33,2430,2,The batter took an inside pitch.
59,-1,33,2432,2,The batter took an inside pitch for a ball.
60,-1,34,1214,1,The batter hit the field line.
60,-1,34,1218,1,The batter hit the field line for a hit.
-1,-1,36,1035,2,Fielder Altuve caught the ball for an out.
-1,-1,36,1036,2,Fielder Altuve caught the ball in the air for an out.
-1,-1,36,1038,2,Fielder Altuve caught the ball in center field for an out.
-1,-1,36,1040,2,Fielder Altuve caught the ball in the air in center field for an out.
-1,-1,36,1043,2,Fielder Altuve caught the ball in shallow center field for an out.
-1,-1,36,1044,2,Fielder Altuve caught the ball in the air in shallow center field for an out.
51,-1,37,498,1,Pitch outside the strike zone.
51,-1,37,3214,1,Pitch was outside the strike zone.
52,-1,39,3199,1,A fielder gained possession of a ball in flight.
52,-1,39,3207,1,A fielder gained possession of a batted ball in flight.
-1,-1,40,761,2,The left fielder caught the ball in ground.
-1,-1,40,763,2,The left fielder caught the ball in foul ground.
-1,-1,41,3882,1,Batter hit a shallow fly ball just behind base.
-1,-1,41,3883,1,Batter hit a fly ball just behind second base.
-1,-1,41,3884,1,Batter hit a shallow fly ball just behind second base.
53,-1,42,120,8,It was low.
53,-1,42,4294,1,That is low.
54,-1,43,664,1,It was a foul.
54,-1,43,1325,1,It to be foul.
54,-1,43,2063,4,It was foul.
54,-1,43,3137,2,It would be a foul.
54,-1,43,4403,3,It is a foul.
-1,-1,45,3357,2,Batter hit the ball into the stands to the right of base.
-1,-1,45,3359,2,Batter hit the ball into the stands to the right of first base.
-1,-1,46,3251,1,The batter drove the ball through the infield on the left side.
-1,-1,46,3280,1,The batter hit the ball on the left side of the infield.
-1,-1,46,3529,1,The batter smashed the ball through the left side of the infield.
-1,-1,46,3530,1,The batter smashed the ball through the left side of the infield for a hit.
-1,-1,47,986,2,The ball landed in shallow center field for a hit.
-1,-1,47,987,2,The batted ball landed in shallow center field.
-1,-1,47,988,2,The batted ball landed in shallow center field for a hit.
-1,-1,48,544,20,The ball.
-1,-1,48,1991,5,A ball.
-1,-1,49,4152,1,The first baseman threw the ball for an out.
-1,-1,49,4158,1,The first baseman threw the ball for an out at base.
-1,-1,49,4159,1,The baseman threw the ball for an out at first base.
-1,-1,49,4160,1,The first baseman threw the ball for an out at first base.
-1,-1,51,233,2,The batter hit the ball for the pop up catch.
-1,-1,51,234,2,The batter hit the ball for the pop up catch for the out.
-1,-1,52,391,25,The batter hit the ball on the ground to the baseman.
-1,-1,52,474,8,The batter hit a ground ball to the baseman.
-1,-1,52,787,1,The ball was hit to the baseman on the ground.
-1,-1,52,1447,1,The batter hit it on the ground towards the baseman.
55,-1,52,1959,1,The ball was hit on the ground to the baseman.
55,-1,52,1968,1,The ball is hit on the ground to the baseman.
55,-1,52,2173,2,The batter hit a ground ball to baseman.
55,-1,52,2417,1,The batter hit a groundball to the baseman.
55,-1,52,2455,1,The hitter hit the ball on the ground to the baseman.
55,-1,52,2894,1,The batter hit it on the ground to the baseman.
55,-1,52,3336,2,The batter hit the ball on the ground between the baseman.
55,-1,52,3423,1,It was hit on the ground to the baseman.
56,-1,53,2756,1,Where it was fielded by the pitcher.
56,-1,53,4407,2,It was fielded by the pitcher.
57,-1,55,4486,2,Umpire called a ball.
57,-1,55,4490,2,Umpire called it a ball.
58,-1,56,2566,2,The batter hit a line drive to the center fielder.
58,-1,56,2711,2,The hitter hit a line drive to the center fielder.
58,-1,56,3609,1,The hitter hit a line drive to center field.
58,-1,56,4194,2,The batter hit a line drive to left field.
58,-1,56,4195,2,The batter hit a line drive to center field.
58,-1,56,4196,2,The batter hit a line drive to left center field.
20,-1,57,287,1,The batter hit it in right field.
20,-1,57,634,1,The hitter hit the ball to right field.
20,-1,57,1196,2,The batter hit the ball to the right fielder.
20,-1,57,1426,1,The batter hit it towards right field.
20,-1,57,1827,3,The batter hit the ball into right field.
20,-1,57,2176,3,The batter hit the ball to right field.
20,-1,57,2459,1,The hitter hit the ball on the right field side.
20,-1,57,4202,2,The batter hit the ball towards right field.
20,-1,57,4465,1,The hitter hit the ball into right field.
59,-1,58,547,1,The ball popped.
59,-1,58,2709,1,The ball was popped.
60,-1,59,2289,1,To clear the strike zone in the left corner.
60,-1,59,2290,1,To clear the strike zone in the lower left corner.
4,-1,60,1264,4,The umpire called it as a strike.
4,-1,60,1687,1,It was a called strike by the umpire.
4,-1,60,3887,1,Which was called a strike by the umpire.
4,-1,60,4125,1,It was called as a strike by the umpire.
-1,-1,61,876,1,That was just left of the foul pole in field.
-1,-1,61,877,1,That was just left of the foul pole in left field.
20,-1,62,576,1,The ball hit to center field.
20,-1,62,1696,1,It was a hit into center field.
20,-1,62,2601,1,Hit the ball into center field.
20,-1,62,2628,1,It was a hit to center field.
20,-1,62,3948,1,The ball was hit to center field.
20,-1,63,768,2,The batter hit the ball to the center fielder.
20,-1,63,893,1,The hitter hit the ball to center field.
20,-1,63,894,1,The hitter hit the ball to right center field.
20,-1,63,1250,6,The batter hit it to center field.
20,-1,63,1265,2,The batter hit the ball to center field.
20,-1,63,1421,1,The batter hit it towards center field.
20,-1,63,1900,1,The batter hit the ball into centerfield.
20,-1,63,2025,7,The batter hit the ball into center field.
20,-1,63,2877,2,The batter hit it to Mid center field.
20,-1,63,2878,2,The batter hit it to Mid center field for a hit.
20,-1,63,2880,2,The batter hit it to center field for a hit.
20,-1,63,2881,2,The batter hit it to right center field.
20,-1,63,2882,2,The batter hit it to right center field for a hit.
20,-1,63,4047,1,The batter hit the ball to center outfield.
20,-1,63,4132,3,The batter hit it into center field.
20,-1,63,4713,1,The batter hit the ball to the centerfielder.
-1,-1,64,3978,1,The hitter hits a ground a ball to the stop.
-1,-1,64,3979,1,The hitter hits a ground a ball straight to the stop.
-1,-1,65,423,1,The ball did not end in the field.
-1,-1,65,424,1,The ball did not end in the field of play.
-1,-1,67,376,1,The ball touched the ground.
-1,-1,67,558,4,The ball was hit on the ground.
-1,-1,67,603,12,The ball hit the ground.
-1,-1,67,1966,1,The ball is hit on the ground.
-1,-1,67,2567,4,It was hit on the ground.
-1,-1,68,1285,3,The batter hit a single.
-1,-1,68,4401,1,The batter hit the ball for a single.
-1,-1,69,696,1,The batter hit it in the air into territory.
-1,-1,69,1109,2,The batter hit the ball into the air in territory.
-1,-1,69,3330,2,The batter hit the ball in the air into territory.
-1,-1,69,3363,4,The batter hit the ball in the air in territory.
-1,-1,70,3244,1,The batter drove the ball for a single.
-1,-1,70,3247,1,The batter drove the ball on the side for a single.
-1,-1,71,881,1,The hitter hit a high fly ball.
-1,-1,71,3001,1,The batter hit a high fly ball.
-1,-1,72,1182,1,The hitter pulled the hit outside(to the right of the line down the base side.
-1,-1,72,1183,1,The hitter pulled the hit outside(to the right of the line down the first base side.
-1,-1,72,1184,1,The hitter pulled the hit outside(to the right of the fair line down the base side.
-1,-1,72,1185,1,The hitter pulled the hit outside(to the right of the fair line down the first base side.
61,-1,73,1643,1,The batter ended at base.
61,-1,73,3342,2,The batter ended on base.
-1,-1,74,1783,2,The third baseman threw the ball to the baseman.
-1,-1,74,1788,2,The third baseman threw the ball to the first baseman.
-1,-1,74,3323,3,The third baseman threw it to the baseman.
-1,-1,74,4712,1,The third baseman threw it to the first baseman.
7,-1,75,348,22,The batter swung at the ball.
7,-1,75,2350,1,The hitter took a swing at the ball.
7,-1,75,2466,1,The hitter swung at the ball.
7,-1,75,4609,2,The batter swung the ball.
62,-1,76,2217,1,The striker hit the ball within the play area.
62,-1,76,2221,1,The striker hit the ball in play area.
-1,-1,78,626,5,The batter hit the ball to the fielder.
-1,-1,78,1624,2,The batter hit the ball towards the fielder.
-1,-1,79,3200,1,A right fielder gained possession of a ball in flight.
-1,-1,79,3205,1,A right fielder gained possession of a batted ball.
-1,-1,79,3208,1,A right fielder gained possession of a batted ball in flight.
63,-1,80,353,1,The ball crossed into the strike zone.
63,-1,80,1910,2,The ball crossed in the strike zone.
63,-1,80,3546,3,The ball crossed the strike zone.
-1,-1,81,3292,1,The batter drove the ball in field.
-1,-1,81,3300,1,The batter drove the ball to field.
64,-1,82,168,2,This is a home run.
64,-1,82,201,1,That's a home run.
64,-1,82,237,6,It was a home run.
64,-1,82,710,1,It's a home run.
64,-1,82,1526,1,It went for a home run.
64,-1,82,3913,1,It is a home run.
-1,-1,84,1263,5,It was high.
-1,-1,84,2514,1,It high.
65,-1,86,2552,2,That did not land on field of play.
65,-1,86,3532,1,It did not go in the field of play.
65,-1,86,3935,4,It did not land in the field of play.
66,-1,87,926,1,The ball bounced into foul territory.
66,-1,87,930,1,The ball flew into foul territory.
-1,-1,88,959,1,It was caught mid air.
-1,-1,88,1376,6,It was caught in the air.
-1,-1,88,2510,1,It was caught in air.
-1,-1,88,2512,1,It was caught in mid air.
-1,-1,88,2583,1,That was caught in air.
-1,-1,88,3877,1,That was caught in the air.
-1,-1,89,520,2,The batter made it to base.
-1,-1,89,533,1,The batter made it on base.
-1,-1,90,4257,1,The batter Todd Frazier does n't swing.
-1,-1,90,4258,1,The batter Todd Frazier does n't swing at the pitch.
-1,-1,91,397,6,It was outside.
-1,-1,91,1324,1,It was on the outside.
-1,-1,93,1483,1,Where the center outfielder caught it.
-1,-1,93,1484,1,Where the defensive center outfielder caught it.
